epoch	Loss	Cross-Entropy	Sum of Squared Errors	KLD
76	2.190317948659261	0.10098762810230255	2.0824671586354575	0.0068632458957533045
77	2.1426993211110434	0.04997273037830988	2.08562171459198	0.007104913548876842
78	2.1417433420817056	0.07581029708186786	2.058819055557251	0.007114003257205089
79	2.0766951640446982	0.042894819751381874	2.026581645011902	0.0072187078185379505
80	2.109851082166036	0.0682971899708112	2.0344525973002114	0.007101367538173993
81	2.0720421075820923	0.051170650869607925	2.013624906539917	0.007246576094379027
82	2.0972683827082315	0.06807007392247517	2.0220565795898438	0.007141740061342716
83	2.1165698369344077	0.0910910094777743	2.018206477165222	0.007272336321572463
84	2.1218239466349282	0.07341308395067851	2.0411608616511026	0.007250010346372922
85	2.061038017272949	0.0514854130645593	2.0022041400273642	0.0073484925863643484
86	2.0712498823801675	0.052528224885463715	2.0113680760065713	0.00735359297444423
