,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
TCGA.AB.2825,-0.192207,-0.4823959,-0.27675474,-0.6876536,-0.13448335,-0.21559921,-0.066955484,-0.35675323,0.13325925,-0.021194309,-0.4804541,-0.23859501,0.53502846,0.27963132,0.43718266,-0.19303703,-0.3489868,-0.06897187,0.10607022,-0.08542584,-0.39425033,-0.2035621,0.49847385,-0.2255425,-0.467721,0.3186748,-0.30226842,0.29614046,0.11776591,0.13250029,-0.119088635,-0.48967224,0.17604175,0.24749577,-0.15081833,0.21634886,-0.40911666,0.047837265,-0.2046217,-0.79107,0.58742654,0.860188,0.010108985,0.01904992,-0.34556073,0.1710817,0.19651663,-0.059969768,0.817881,-0.19888943,-0.6273736,0.21154946,0.07306509,0.20182176,0.12709229,-0.09682064,0.07219759,0.45426738,-0.29039368,-0.1229687,-0.10926488,0.3116216,-0.48764992,-0.7502172
TCGA.AB.2826,-0.0877786,0.058282673,-0.05354642,0.09882662,0.1510889,-0.053460166,-0.12606877,-0.011222169,-0.20841615,0.08388451,0.009433247,0.116157115,-0.004894741,-0.067306355,-0.2253355,-0.16198078,-0.6345881,-0.32302132,-0.09625606,0.07341591,0.09573907,-0.17220569,-0.20522939,0.0087664835,-0.16330573,0.40197998,-0.53290415,0.3694718,-0.40560544,-0.6606059,-0.047184996,-0.6365029,-0.19821909,0.6827067,-0.36751568,-0.28889614,-0.25644326,-0.30348328,0.03428614,-0.6891867,0.14303324,0.15781032,-0.35515392,0.50244415,-0.2196076,0.025710605,-0.38094896,-0.098564096,0.3657562,0.010997422,-0.28788847,-0.6290354,0.08426076,0.13464373,0.6562308,-0.3115998,-0.32110608,0.36661458,-0.48076746,-0.27389982,-0.35830933,0.081727445,-0.5198209,-0.79567635
TCGA.AB.2828,-0.010660373,-0.2435078,0.0019301102,-0.13988157,-0.12253097,-0.25788063,-0.15886123,0.018145517,-0.019420464,-0.25085157,-0.48757005,-0.08518201,0.5028559,0.11641286,0.09781849,-0.16742972,0.09357941,-0.04180844,0.27802664,0.10237513,-0.29905632,0.15315942,-0.0072602704,-0.18136689,-0.48698917,0.011591837,-0.4227457,0.016498532,0.073911645,0.065957755,-0.13245624,-0.51618314,0.06217712,0.055106625,-0.40723607,0.31205928,-0.11060148,-0.0016128179,0.42662543,-0.6135794,0.29439548,0.6415801,-0.106143795,-0.020154057,-0.17354041,0.23486447,-0.15150581,0.00686945,0.48892915,-0.056005776,-0.23829821,0.35203168,-0.09492243,0.055541724,0.058745675,0.27907085,-0.08986266,0.1472788,-0.16469659,0.19221269,0.1872226,0.19480298,-0.039400164,-0.4182074
TCGA.AB.2830,0.2227497,-0.2979765,0.14070147,-0.062379237,-0.043467093,-0.16857791,-0.07219955,-0.028987646,0.2513798,0.09383791,0.11600847,-0.15034193,0.25506,-0.29889813,0.056038283,-0.16518024,-0.23985225,-0.0076885726,0.11677746,-0.28032458,-0.24150538,0.2094746,0.71487176,0.04231134,0.10275811,0.16733842,0.23937394,-0.1416339,-0.0075546354,0.14802434,0.3166222,0.5789348,0.65575695,-0.17227699,-0.3921502,0.077004574,0.08535463,-0.09936924,0.08598688,-0.040905114,-0.29617578,0.01121591,0.51082605,-0.14723094,-0.009155471,0.049452998,0.114414476,0.24028887,0.016200565,0.06553961,-0.35250583,0.21775818,-0.35943982,0.027745217,-0.0381784,0.07405527,0.27121523,-0.11663629,-0.08170624,0.042996623,-0.06867643,0.20446864,0.44812864,0.60647917
TCGA.AB.2832,-0.34503108,-0.9234123,-0.43636587,-0.8877603,-0.27069545,-0.06691009,-0.3053639,-0.734362,0.41101912,0.25035292,-0.6148133,-0.40354437,0.38147235,0.57381976,0.92121214,-0.030247994,-0.41921097,0.036671072,0.043605044,-0.34392843,-0.5753703,-0.7484199,1.1541811,-0.3876361,-0.5912267,0.3672665,0.06635343,0.19834885,0.22936083,0.61496574,0.27945927,-0.18453121,0.23357186,-0.17278692,0.28699318,0.3910454,-0.40261436,0.69737375,-0.78868484,-0.501209,0.6361948,1.4608107,0.30960566,-0.40603074,-0.37698448,0.06876905,0.8204128,-0.07764429,0.6049756,-0.055597864,-0.9262076,0.6678761,0.06591971,0.2894333,-0.35005108,-0.42407203,0.32350236,0.17772466,0.057844356,-0.29035768,-0.15558705,0.6124329,-0.09151757,-0.5336994
TCGA.AB.2834,-0.011094656,0.007623967,-0.04644104,0.4365654,0.14322373,-0.101476684,-0.39008775,0.16758952,-0.36413622,-0.04111831,0.06783095,0.10495955,-0.15311044,-0.26680684,-0.38634223,0.12027524,-0.13528639,-0.26954937,0.010589967,0.23862828,0.32685152,-0.06748965,-0.5102979,0.03603027,-0.15576127,0.0739457,-0.30127227,0.10829132,-0.28939706,-0.28553024,0.08974075,-0.4925482,-0.12067244,0.5266988,-0.5433522,0.022717036,0.14103375,-0.13374609,0.39993447,-0.4243257,-0.017771324,-0.0051120594,-0.37935412,0.36273602,-0.07691534,-0.018477924,-0.5911181,-0.14512321,0.08507054,0.06537177,-0.007779941,-0.3810348,-0.01960804,0.15744953,0.21090396,-0.010016125,-0.15072145,0.11753817,-0.24442707,0.02368493,-0.21144933,0.29736307,-0.011675015,-0.3830464
TCGA.AB.2835,-0.23499706,-0.29199153,-0.30612707,-0.41970813,-0.04759291,-0.14263955,-0.18815519,-0.20484279,-0.1879696,-0.1335672,-0.45635372,-0.033821337,0.37410915,0.20239621,0.14028262,-0.09579584,-0.37876746,-0.072376,0.043050133,-0.020620894,-0.1356443,-0.3804236,0.08429092,-0.19112323,-0.4638058,0.2609763,-0.42097175,0.3583489,-0.04454449,-0.05967877,-0.1155432,-0.80519676,-0.1118401,0.42665267,-0.17067578,0.16478959,-0.34241164,0.016381197,-0.09359733,-0.88024426,0.5402846,0.84701777,-0.32382786,0.14284602,-0.29907417,0.1003291,-0.09283991,-0.09560501,0.7163513,-0.06519723,-0.4744815,-0.03782408,0.11995806,0.2625251,0.23719841,-0.18701795,-0.087267295,0.48394912,-0.31240132,-0.12883729,-0.11829844,0.26641986,-0.48540545,-0.95517474
TCGA.AB.2836,0.02369532,-0.054494366,-0.0654232,-0.089227356,0.012029121,-0.1571166,-0.17388195,-0.019072682,-0.18197623,-0.0452943,-0.21582624,0.046526223,0.28448215,-0.0010628551,-0.062089536,-0.13574654,-0.3836372,-0.12144788,0.14392897,0.021214057,-0.077983335,-0.059144817,-0.05729209,-0.04209727,-0.30649224,0.21712454,-0.42551455,0.21684937,-0.18341419,-0.30720073,-0.059096817,-0.6300174,0.020757588,0.3694299,-0.30894104,-0.015807498,-0.22527504,-0.17256902,0.19976324,-0.72788656,0.17595518,0.42132932,-0.23583947,0.2581611,-0.07243693,0.10652071,-0.3266724,-0.013542965,0.43637162,0.019360494,-0.26956755,-0.15947513,-0.010308415,0.10928471,0.3596548,-0.04550533,-0.16727479,0.32154793,-0.3310141,-0.08911659,-0.12537442,0.12134457,-0.33466852,-0.5649098
TCGA.AB.2837,-0.108314216,-0.14726639,-0.18442985,-0.38309473,-0.028123554,-0.22164454,-0.09682957,-0.13755304,-0.10595623,-0.11036499,-0.37805298,-0.0014859512,0.42739454,0.18193363,0.11740271,-0.18797249,-0.3908102,-0.08232643,0.13078314,-0.003066687,-0.23017728,-0.11974452,0.04064159,-0.1440266,-0.4299315,0.25477168,-0.5625642,0.3129352,-0.06671023,-0.22285685,-0.19804098,-0.830814,-0.045999188,0.4185519,-0.22729838,0.04367798,-0.44418383,-0.16193464,0.086338975,-0.9225815,0.46789908,0.65588975,-0.26418227,0.22135112,-0.19538847,0.15310648,-0.17706951,-0.042869285,0.7209916,-0.08566747,-0.37315097,-0.06993995,0.07985607,0.1280953,0.36419198,-0.0949214,-0.18867056,0.47794622,-0.3877363,-0.11033884,-0.09459869,0.15149404,-0.5934628,-0.87193877
TCGA.AB.2838,-0.21758896,0.24352467,-0.17992067,-0.8050089,0.06728234,0.4639768,1.5373359,0.08260592,0.5777893,-0.28067026,0.25619504,-0.0037697703,0.15436836,0.34896427,0.26674637,-0.160901,0.95862794,0.56884855,-0.8004893,-0.046496633,-0.21307936,0.26663595,-0.09450205,0.2744574,1.1757447,-0.21638224,0.41948003,-0.065004595,1.0484308,0.3330523,-0.76251644,1.0499147,-0.23656377,-0.22597013,0.9995748,0.2947213,-0.031898394,-0.19329794,-1.056653,0.94658506,0.5348272,-1.3808734,0.11813606,-0.048054032,-0.27954292,-0.061892048,1.1832669,-0.004731349,0.12733762,-0.90071464,0.60083055,0.27066872,-0.06786053,0.095444456,-0.2864649,0.1359754,0.46254504,0.052443575,-0.1338763,0.16113171,0.35977733,-0.78983736,-0.7102472,0.33443856
